timestamp,exchange,symbol,open,high,low,close,volume,trades,bid,ask,bid_size,ask_size,funding_rate
2024-01-01 00:00:00,binance,BTCUSDT,49923.32928646278,50412.93985944315,49433.718713482405,49923.32928646278,1961450.0073541184,19614,49898.848757813765,49947.809815111796,196145.00073541186,196145.00073541186,-4.807250036770591e-05
2024-01-01 01:00:00,binance,BTCUSDT,49923.32928646278,50376.58564941403,49829.17182467379,50102.87873704391,1092579.5853233472,10925,50089.193391425404,50116.564082662415,109257.95853233473,109257.95853233473,-4.628979266167371e-06
2024-01-01 02:00:00,binance,BTCUSDT,50102.87873704391,50604.09637742735,50005.63430006453,50304.865338745934,1189670.3695216312,11896,50289.90378681186,50319.82689068001,118967.03695216312,118967.03695216312,9.483518476081549e-06
2024-01-01 03:00:00,binance,BTCUSDT,50304.865338745934,51036.306868125794,50087.763795980594,50562.035332053194,1875998.5944313402,18759,50538.32175524956,50585.748908856825,187599.85944313405,187599.85944313405,4.379992972156702e-05
2024-01-01 04:00:00,binance,BTCUSDT,50562.035332053194,51242.11641410418,50370.00726130425,50806.06183770422,1716545.4696839296,17165,50784.259108884224,50827.864566524215,171654.54696839297,171654.54696839297,3.5827273484196485e-05
2024-01-01 05:00:00,binance,BTCUSDT,50806.06183770422,52082.83673274103,50304.2568778175,51193.546805279264,3474226.6670613093,34742,51149.082308906174,51238.011301652354,347422.66670613096,347422.66670613096,0.00012371133335306546
2024-01-01 06:00:00,binance,BTCUSDT,51193.546805279264,51691.089624867775,51091.95257721923,51391.5211010435,1165828.5935350126,11658,51376.54267485229,51406.499527234715,116582.85935350126,116582.85935350126,8.29142967675063e-06
2024-01-01 07:00:00,binance,BTCUSDT,51391.5211010435,52127.550038106754,50741.22522146856,51434.387629787656,2695326.7658528793,26953,51399.729509371704,51469.04575020361,269532.67658528796,269532.67658528796,-8.476633829264397e-05
2024-01-01 08:00:00,binance,BTCUSDT,51434.387629787656,52614.55374098392,50974.31831640516,51794.436028694545,3166817.8096775957,31668,51753.43014308008,51835.44191430901,316681.7809677596,316681.7809677596,0.00010834089048387979
2024-01-01 09:00:00,binance,BTCUSDT,51794.436028694545,52420.59390128724,51617.13860815989,52018.866254723565,1544545.9522186122,15445,51998.77987239538,52038.95263705175,154454.59522186124,154454.59522186124,2.722729761093062e-05
2024-01-01 10:00:00,binance,BTCUSDT,52018.866254723565,53171.09726769422,51566.34604144171,52368.72165456797,3064331.485572025,30643,52328.60287391166,52408.84043522428,306433.14855720254,306433.14855720254,0.00010321657427860127
2024-01-01 11:00:00,binance,BTCUSDT,52368.72165456797,52822.73198150066,52272.446480939005,52547.589231219834,1047213.5993533414,10472,52533.832093705794,52561.34636873387,104721.35993533414,104721.35993533414,2.3606799676670698e-06
2024-01-01 12:00:00,binance,BTCUSDT,52547.589231219834,53081.72008383109,52264.454115356144,52673.08709959361,1551581.6776215546,15515,52652.65545038174,52693.51874880549,155158.16776215547,155158.16776215547,-2.757908388107772e-05
2024-01-01 13:00:00,binance,BTCUSDT,52673.08709959361,53210.47342743623,52374.72319958575,52792.598313510985,1583082.2019544067,15830,52771.70455781472,52813.49206920725,158308.2201954407,158308.2201954407,-2.9154110097720334e-05
2024-01-01 14:00:00,binance,BTCUSDT,52792.598313510985,54126.95341166261,52226.7856445354,53176.86952809901,3573297.533287762,35732,53129.365333920825,53224.37372227719,357329.7533287762,357329.7533287762,0.00012866487666438812
2024-01-01 15:00:00,binance,BTCUSDT,53176.86952809901,53692.87803296686,52903.893950350706,53298.38599165878,1480315.1501428753,14803,53278.66138959338,53318.11059372419,148031.51501428752,148031.51501428752,-2.4015757507143766e-05
2024-01-01 16:00:00,binance,BTCUSDT,53298.38599165878,53931.98124960519,53082.7753548434,53507.37830222429,1587081.859935744,15870,53486.14815485525,53528.60844959334,158708.1859935744,158708.1859935744,2.9354092996787195e-05
2024-01-01 17:00:00,binance,BTCUSDT,53507.37830222429,53943.2231925219,53387.356126129416,53665.28965932566,1035803.7195386593,10358,53651.39298266585,53679.18633598547,103580.37195386594,103580.37195386594,1.7901859769329648e-06
2024-01-01 18:00:00,binance,BTCUSDT,53665.28965932566,55046.46749947271,53050.806236157645,54048.63686781518,3692343.3761998154,36923,53998.7453362323,54098.528399398056,369234.33761998155,369234.33761998155,0.00013461716880999077
2024-01-01 19:00:00,binance,BTCUSDT,54048.63686781518,54540.02737644228,53781.35204063789,54160.689708540085,1400785.9572821772,14007,54141.72282514498,54179.65659193519,140078.5957282177,140078.5957282177,-2.0039297864108865e-05
2024-01-01 20:00:00,binance,BTCUSDT,54160.689708540085,54641.90502787313,53996.481133598885,54319.193080736004,1188205.9685881769,11882,54303.05748337915,54335.32867809286,118820.59685881769,118820.59685881769,9.41029842940885e-06
2024-01-01 21:00:00,binance,BTCUSDT,54319.193080736004,54948.27309809236,54071.14365838436,54509.70837823836,1609125.1738528302,16091,54487.78014224566,54531.636614231065,160912.51738528302,160912.51738528302,3.0456258692641515e-05
